Country,country_code,Region,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019.1
Bermuda,BMU,North America,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Latin America & Caribbean,CO2 emissions (metric tons per capita),1516423036.0,1550319934.0,1557063153.0,13948037.0,1274978599.0,1125639469.0,1065652964.0,1148983181.0,1070798558.0,995510996.0,975259762.0,938201757.0,949350243.0,1019557988.0,1046416775.0,1088569382.0,1195259486.0,126380481.0,1348563251.0,1416317393.0,1509663496.0,1626366425.0,1678603032.0,1777588045.0,190631555.0,1909890716.0,1995137361.0,2032547019.0,2046129929.0,1940398005.0,1940398005.0
Brazil,BRA,Latin America & Caribbean,CO2 emissions (metric tons per capita),1328159172.0,1354979891.0,1347535542.0,1372402004.0,139557303.0,1489199885.0,1594086243.0,1682504665.0,1711514957.0,1746531545.0,1794549984.0,1802410371.0,1769880772.0,1709539024.0,1785371856.0,1782061764.0,1783625001.0,1854305856.0,1945681928.0,1805179788.0,203322568.0,2117869375.0,2279272333.0,2421656961.0,2523232137.0,2373628508.0,2168574696.0,2196418173.0,2071854677.0,2057810839.0,2057810839.0
Barbados,BRB,Latin America & Caribbean,CO2 emissions (metric tons per capita),3755753393.0,3741714774.0,4488569364.0,3789759312.0,3888362471.0,4023237014.0,3969338731.0,4325404668.0,4715334863.0,4806714611.0,4567034116.0,4807445302.0,5010551434.0,5030419439.0,4940370507.0,5138969156.0,5297774677.0,5310350587.0,6358369012.0,1643502256.0,54939016.0,6219366934.0,7472734688.0,5065179206.0,4458878192.0,4451033309.0,4513677359.0,4122573001.0,4325983846.0,4355082032.0,4355082032.0
Brunei Darussalam,BRN,East Asia & Pacific,CO2 emissions (metric tons per capita),1260078697.0,1269683856.0,1310754761.0,1395180415.0,1475201415.0,1548237702.0,1585582037.0,1676486239.0,1416328513.0,1358004255.0,1416711189.0,1385143381.0,1332268255.0,1562433655.0,1418897462.0,1366703853.0,2030994264.0,1904167531.0,20847719.0,2050002315.0,1844923521.0,1861885184.0,1829587739.0,1782826519.0,1727764771.0,1542488346.0,1660349981.0,1717391347.0,175773964.0,1613215855.0,1613215855.0
Bhutan,BTN,South Asia,CO2 emissions (metric tons per capita),150715617.0,243155636.0,224498386.0,244090201.0,263204896.0,299272954.0,369364195.0,344381952.0,354372424.0,346089021.0,355321532.0,381019907.0,389594569.0,414118231.0,453969796.0,493260813.0,486763075.0,481294913.0,446687163.0,471747475.0,583513988.0,851006097.0,912224067.0,94334976.0,973502632.0,1057859388.0,1262376046.0,1301030267.0,1391841887.0,1375977209.0,1375977209.0
Botswana,BWA,Sub-Saharan Africa,CO2 emissions (metric tons per capita),2183786203.0,2058325247.0,2420169251.0,2322905275.0,2147746853.0,2171289562.0,1940555211.0,1992957783.0,2335281728.0,2397128414.0,2452333155.0,2310897524.0,236413982.0,2260164586.0,2248612758.0,2378997792.0,222777692.0,2303437439.0,2291667032.0,2144873704.0,1695933627.0,1925170469.0,167193666.0,2627813846.0,3346708888.0,3277194971.0,3069551079.0,332414843.0,3243026912.0,3147107071.0,3147107071.0
Central African Republic,CAF,Sub-Saharan Africa,CO2 emissions (metric tons per capita),53442784.0,48636324.0,50688759.0,52525353.0,51036406.0,49648396.0,51386918.0,50111542.0,66177814.0,67453265.0,65926441.0,671679.0,65752635.0,59260253.0,58082525.0,5447729.0,55851339.0,57170025.0,39781269.0,39191973.0,38752931.0,42999665.0,45081487.0,2697875.0,29120747.0,42286394.0,46279124.0,47867471.0,49288796.0,50577648.0,50577648.0
Canada,CAN,North America,CO2 emissions (metric tons per capita),1514888987.0,1474101397.0,150282342.0,1471338582.0,1506034534.0,1529060285.0,1559259037.0,1594398546.0,1607651198.0,1625852275.0,1675762643.0,1633156895.0,1672030149.0,1720830161.0,1679426996.0,1702748527.0,165953499.0,1738057011.0,1655692294.0,1550214503.0,1579214123.0,159959443.0,1573447396.0,1583846027.0,1584990541.0,1564858561.0,1542060171.0,1554457104.0,1565057904.0,1543061283.0,1543061283.0
Switzerland,CHE,Europe & Central Asia,CO2 emissions (metric tons per capita),6452219106.0,6716198199.0,6646920803.0,626237251.0,6089683784.0,6169852459.0,6223265482.0,6030549707.0,6223627817.0,623321054.0,6084142395.0,6244939386.0,5980985175.0,6109823415.0,6127509688.0,6165024808.0,6077017721.0,5766034471.0,5878910791.0,5639327378.0,5777702857.0,5205754138.0,5317086349.0,5381151799.0,4859165525.0,4719648777.0,4737656377.0,4578884688.0,440199099.0,4359041462.0,4359041462.0
